Experience_Years,Training_Hours_Monthly,Projects_Completed,Attendance_Percent,Performance_Score
9,3,13,85.93,100.0
2,32,3,88.08,93.62
8,1,26,80.14,100.0
11,12,8,65.8,86.49
13,44,22,93.78,100.0
0,29,5,85.81,80.32
17,33,30,94.77,100.0
16,29,16,97.32,100.0
8,50,20,92.23,100.0
8,23,10,98.35,100.0
9,47,27,98.17,100.0
18,43,28,84.77,100.0
14,32,3,89.13,100.0
4,40,20,87.98,100.0
14,48,26,84.85,100.0
19,9,8,60.77,84.72
1,17,27,74.24,100.0
12,18,15,64.0,99.72
15,6,2,72.01,70.72
14,18,3,62.74,71.85
9,23,23,96.8,100.0
13,14,2,78.05,80.52
9,40,12,67.57,97.5
13,41,18,83.39,100.0
8,22,28,67.86,100.0
13,3,24,92.18,100.0
2,37,20,72.24,100.0
19,3,25,72.6,100.0
15,4,0,94.8,74.26
1,40,22,82.37,100.0
9,43,22,95.49,100.0
2,22,30,76.52,100.0
10,39,5,73.76,88.22
10,36,21,80.25,100.0
20,10,2,62.46,78.24
20,10,2,66.17,66.52
12,12,15,68.78,100.0
6,13,9,92.67,100.0
16,7,26,89.35,100.0
1,24,24,67.73,100.0
11,17,16,71.07,100.0
9,50,6,97.77,99.86
17,43,12,63.43,100.0
10,43,27,81.9,100.0
15,17,10,80.88,100.0
16,9,9,89.03,100.0
18,6,6,70.46,90.51
17,49,23,97.39,100.0
2,43,5,76.42,80.39
20,13,23,71.43,100.0
15,14,0,73.47,71.91
5,15,16,73.95,100.0
11,1,24,67.96,100.0
10,29,11,97.12,100.0
14,29,3,67.0,88.38
14,17,2,95.31,95.78
15,30,5,76.2,100.0
9,43,25,70.77,100.0
11,47,27,67.94,100.0
12,12,15,80.17,100.0
3,19,12,86.77,100.0
6,48,27,95.93,100.0
1,49,8,86.1,94.99
14,34,25,79.35,100.0
7,22,10,61.34,78.99
6,41,19,96.62,100.0
14,32,24,96.09,100.0
13,37,30,75.15,100.0
7,34,20,61.16,100.0
11,50,12,89.33,100.0
12,35,22,91.67,100.0
10,19,18,81.7,100.0
16,2,2,76.11,73.59
16,7,11,94.05,100.0
3,39,18,67.7,100.0
20,31,7,77.58,100.0
7,28,13,60.98,83.54
4,6,21,66.56,99.09
15,1,8,97.63,96.32
3,20,24,83.12,100.0
14,5,23,92.22,100.0
11,27,16,79.46,100.0
4,47,5,93.39,100.0
15,41,3,81.56,100.0
13,35,3,60.18,63.24
9,31,18,95.99,100.0
6,44,11,65.94,89.72
12,41,24,78.02,100.0
19,45,1,79.07,98.83
4,8,16,61.89,81.42
2,10,29,62.12,100.0
14,22,14,90.5,100.0
3,49,9,72.02,91.51
14,10,2,76.39,78.91
13,48,28,82.56,100.0
19,1,30,74.94,100.0
18,2,19,91.0,100.0
12,10,3,95.38,95.92
9,49,21,62.39,100.0
20,34,0,85.42,100.0
4,14,0,72.71,56.22
19,42,17,83.33,100.0
19,10,3,79.36,91.58
5,30,22,73.35,100.0
3,27,21,63.79,89.24
1,27,14,82.38,100.0
15,31,26,64.51,100.0
17,24,24,66.24,100.0
4,19,22,99.29,100.0
3,27,27,72.67,100.0
12,24,20,83.38,100.0
18,10,21,70.89,100.0
1,18,9,94.62,95.83
12,27,24,71.33,100.0
10,0,16,74.68,96.6
3,4,26,84.34,100.0
19,9,24,94.8,100.0
19,41,21,92.65,100.0
14,45,11,70.55,100.0
3,33,19,93.18,100.0
8,35,11,88.05,100.0
6,1,15,99.59,97.02
18,17,4,97.42,100.0
18,12,28,81.33,100.0
5,50,15,90.0,100.0
5,4,16,82.81,100.0
19,19,22,83.8,100.0
14,1,28,64.06,100.0
14,10,30,60.09,100.0
19,29,14,61.93,100.0
8,31,12,98.67,100.0
3,31,7,65.05,79.96
17,49,26,61.78,100.0
17,37,20,72.39,100.0
4,27,1,83.53,78.68
19,9,7,97.94,100.0
10,21,9,88.0,100.0
4,16,6,71.05,70.72
3,21,9,97.56,98.08
11,42,24,61.44,100.0
1,18,3,99.16,79.59
12,16,10,62.35,90.31
9,23,8,90.15,100.0
8,35,3,61.81,62.21
9,31,2,97.26,89.48
6,45,30,64.35,100.0
3,35,10,62.02,69.43
18,27,2,95.57,100.0
9,13,25,63.83,100.0
2,35,17,91.92,100.0
20,5,25,89.88,100.0
18,8,18,83.96,100.0
20,20,13,75.12,100.0
1,11,23,96.62,100.0
19,29,10,94.84,100.0
9,30,23,77.05,100.0
1,39,1,69.27,51.33
1,3,26,70.9,100.0
16,30,1,68.81,85.14
15,26,1,81.65,93.0
15,24,9,94.74,100.0
13,4,22,90.94,100.0
6,5,14,91.82,100.0
20,4,21,77.93,100.0
10,50,11,72.9,100.0
0,26,10,90.29,87.91
10,7,16,91.73,100.0
20,8,17,87.81,100.0
3,14,13,61.28,76.55
6,35,16,83.59,100.0
14,40,14,73.88,100.0
17,6,11,67.85,99.79
11,31,26,87.78,100.0
16,7,15,70.74,100.0
0,46,22,96.51,100.0
10,50,5,71.92,90.65
0,14,1,82.21,57.28
14,36,1,93.11,94.18
20,18,15,76.08,100.0
9,38,1,93.15,84.86
6,5,7,88.95,80.63
1,18,29,96.83,100.0
9,27,6,73.03,98.88
3,16,0,64.2,39.29
11,41,3,77.21,85.84
18,18,10,91.43,100.0
10,30,19,78.02,100.0
7,10,6,70.48,68.21
17,14,17,61.1,100.0
10,9,3,72.52,70.96
10,42,16,88.54,100.0
12,22,28,65.9,100.0
2,2,30,73.64,100.0
11,2,28,60.81,100.0
2,17,10,88.87,100.0
9,24,10,95.23,100.0
16,42,19,82.74,100.0
1,19,10,61.03,65.47
16,28,14,68.71,100.0
15,21,13,77.54,100.0
1,49,16,83.5,100.0
19,14,1,79.85,90.7
5,38,17,96.63,100.0
9,9,15,97.55,100.0
9,20,11,64.29,98.83
7,28,9,65.54,84.46
0,31,27,74.32,100.0
12,9,15,76.85,100.0
8,12,2,83.44,77.62
9,46,7,90.93,100.0
14,22,26,65.43,100.0
4,49,21,92.11,100.0
15,22,21,84.4,100.0
12,30,24,99.24,100.0
19,3,23,86.05,100.0
17,48,1,88.64,100.0
10,2,30,67.81,100.0
8,20,21,90.75,100.0
15,1,0,63.17,47.14
1,3,28,86.26,100.0
1,0,13,62.22,62.76
11,14,24,64.61,100.0
7,32,3,64.31,57.93
8,5,3,62.1,44.67
11,6,8,72.85,88.5
8,18,2,99.77,85.06
9,43,4,73.93,85.92
1,0,0,90.43,46.33
15,38,21,65.29,100.0
19,18,18,78.18,100.0
6,44,0,67.4,66.91
1,25,9,67.68,75.84
0,43,21,63.99,100.0
18,11,29,77.28,100.0
3,21,11,63.02,82.25
1,12,9,96.39,94.26
13,27,1,77.92,81.97
1,13,15,93.54,100.0
14,21,7,99.18,100.0
11,29,13,87.11,100.0
4,43,28,96.06,100.0
19,19,14,65.41,100.0
6,43,15,93.2,100.0
20,26,10,70.85,100.0
9,37,11,78.9,100.0
13,41,1,85.86,91.69
13,40,3,96.14,93.3
4,33,29,96.44,100.0
17,38,2,63.68,76.47
13,40,8,74.58,100.0
1,43,17,91.73,100.0
11,36,18,88.13,100.0
5,0,6,61.05,36.96
3,14,3,78.0,62.1
12,31,5,93.17,100.0
3,7,18,89.51,100.0
13,32,0,76.47,71.24
15,17,15,89.41,100.0
3,44,10,82.05,94.48
0,28,21,96.51,100.0
12,31,3,83.49,100.0
3,32,17,76.03,100.0
19,4,22,94.52,100.0
17,17,30,61.99,100.0
5,47,25,96.02,100.0
2,9,28,87.85,100.0
12,35,27,97.62,100.0
15,32,30,70.02,100.0
4,22,28,87.8,100.0
3,39,4,92.38,78.01
20,4,21,88.08,100.0
7,33,5,68.41,86.47
18,23,29,71.02,100.0
13,16,24,82.67,100.0
6,30,27,77.87,100.0
13,6,1,89.4,90.19
5,16,11,75.15,93.88
11,27,21,94.38,100.0
15,37,8,77.28,100.0
16,21,27,61.6,100.0
12,14,19,60.69,95.4
13,36,28,85.87,100.0
6,14,11,81.62,100.0
13,49,28,81.71,100.0
14,49,12,91.6,100.0
11,24,26,75.03,100.0
16,20,21,99.82,100.0
8,37,22,97.82,100.0
14,1,16,60.52,89.32
11,26,4,95.83,95.9
1,48,19,87.22,100.0
4,31,12,80.08,100.0
12,20,28,83.31,100.0
19,3,12,93.67,100.0
7,43,9,98.04,100.0
13,18,14,82.41,100.0
14,1,14,67.25,93.32
10,25,17,85.59,100.0
0,33,17,63.05,81.11
20,13,1,85.41,91.89
2,14,22,92.34,100.0
16,19,10,74.13,100.0
18,33,12,62.85,100.0
13,35,10,87.69,100.0
7,18,3,73.57,73.03
12,8,14,69.96,99.65
19,6,21,87.57,100.0
2,29,22,98.78,100.0
4,12,24,89.81,100.0
8,26,10,79.65,100.0
5,43,17,84.02,100.0
1,34,15,65.69,86.4
12,12,9,92.53,100.0
4,14,11,84.17,100.0
7,45,12,98.63,100.0
0,8,8,99.18,73.74
19,44,26,74.18,100.0
11,22,20,99.54,100.0
10,35,12,98.27,100.0
6,39,5,85.59,88.25
14,2,5,73.34,74.05
10,33,10,90.13,100.0
15,18,18,70.85,100.0
2,27,26,85.19,100.0
19,22,10,60.98,95.81
13,39,9,85.14,100.0
2,48,22,98.06,100.0
0,44,14,69.41,92.24
20,6,12,91.13,100.0
14,40,22,71.74,100.0
0,11,7,88.31,93.34
16,13,4,88.0,100.0
1,45,1,67.39,55.26
19,14,15,83.89,100.0
5,2,30,94.37,100.0
7,14,12,75.3,100.0
15,50,18,88.41,100.0
18,23,8,86.98,100.0
0,45,14,70.3,93.82
2,7,5,96.75,69.79
2,4,7,82.54,73.5
4,50,23,74.21,100.0
11,3,13,66.57,84.52
11,13,4,78.94,88.36
19,15,16,89.2,100.0
12,19,21,84.95,100.0
19,23,6,89.08,100.0
8,5,8,91.67,87.98
6,30,15,77.64,100.0
3,5,17,80.81,100.0
18,34,27,99.46,100.0
18,14,12,98.72,100.0
5,28,17,76.59,100.0
12,2,9,87.41,94.86
10,10,0,70.7,67.64
12,2,20,66.11,100.0
12,27,17,90.74,100.0
19,9,18,77.45,100.0
14,49,1,67.08,74.43
20,32,26,90.35,100.0
12,47,3,96.61,96.45
10,15,10,97.33,100.0
18,9,2,83.85,100.0
7,32,8,79.19,100.0
19,35,9,65.67,96.99
7,2,27,91.71,100.0
9,4,1,97.81,70.38
15,11,6,95.58,100.0
18,43,14,90.07,100.0
10,12,26,60.18,100.0
12,23,29,76.31,100.0
8,43,18,76.43,100.0
19,31,9,95.77,100.0
18,15,23,62.63,100.0
15,31,19,81.25,100.0
6,44,13,65.45,98.83
18,36,3,86.49,100.0
11,35,24,91.69,100.0
14,20,10,85.68,100.0
13,46,2,91.78,100.0
10,11,22,84.3,100.0
9,50,16,67.59,100.0
10,20,6,75.31,94.15
5,50,25,98.27,100.0
1,20,10,71.53,86.31
10,42,17,62.51,100.0
18,5,27,75.39,100.0
5,8,13,74.65,98.53
13,0,13,78.81,100.0
19,11,5,82.41,100.0
5,13,30,99.7,100.0
16,5,28,90.25,100.0
9,0,8,61.44,59.98
0,21,21,88.51,100.0
2,33,2,92.97,71.99
7,10,16,95.83,100.0
7,2,27,76.96,100.0
19,41,11,72.55,100.0
14,5,30,93.57,100.0
6,5,3,91.1,82.21
10,19,19,81.44,100.0
6,20,15,64.72,100.0
3,1,28,86.07,100.0
11,25,23,62.63,100.0
5,30,9,64.01,77.94
13,25,25,73.25,100.0
11,31,29,74.85,100.0
10,9,28,78.48,100.0
18,22,6,73.57,100.0
20,5,9,61.35,85.93
4,22,6,66.3,60.23
13,27,22,64.6,100.0
20,48,27,77.25,100.0
15,29,17,68.49,100.0
12,13,8,71.74,87.84
19,36,21,78.86,100.0
3,31,17,69.42,100.0
10,48,16,69.84,100.0
16,33,10,93.33,100.0
6,40,0,81.92,67.31
13,43,16,94.27,100.0
10,50,3,80.58,93.14
8,21,3,96.37,89.24
12,30,13,70.19,100.0
17,6,27,84.67,100.0
10,40,8,80.13,100.0
14,20,12,96.75,100.0
18,15,27,76.74,100.0
0,19,27,94.19,100.0
3,42,15,82.56,100.0
13,43,0,88.34,81.81
13,46,2,95.48,100.0
2,49,18,99.88,100.0
16,18,7,89.25,100.0
2,47,17,72.58,100.0
15,31,5,71.96,100.0
13,14,26,72.36,100.0
19,4,19,63.92,100.0
12,10,28,62.14,100.0
14,14,25,83.23,100.0
13,28,5,92.42,100.0
18,49,28,61.45,100.0
5,44,4,82.67,87.02
9,3,11,74.87,85.8
14,48,8,95.7,100.0
20,35,8,65.82,100.0
19,47,16,82.54,100.0
5,22,18,98.84,100.0
9,14,16,73.8,100.0
6,45,21,89.67,100.0
16,43,15,95.3,100.0
17,2,11,67.45,95.39
16,31,2,99.7,99.63
8,9,13,92.38,100.0
9,39,16,65.5,100.0
9,37,21,72.44,100.0
6,21,15,85.0,100.0
15,13,20,95.4,100.0
17,16,11,67.79,100.0
5,20,27,89.25,100.0
19,50,23,70.83,100.0
0,47,29,92.22,100.0
0,14,1,87.34,64.2
11,14,7,80.92,94.56
20,0,11,85.99,100.0
1,23,20,95.06,100.0
3,11,15,75.46,94.88
16,9,7,90.77,100.0
3,45,27,66.36,100.0
10,41,15,88.05,100.0
3,41,9,90.03,90.96
0,30,19,77.72,100.0
6,10,14,91.74,100.0
17,15,3,82.28,91.97
8,8,25,97.45,100.0
2,46,30,64.5,100.0
7,13,14,65.23,95.14
18,18,3,93.7,100.0
3,30,29,93.69,100.0
17,8,10,78.85,100.0
19,35,30,98.56,100.0
10,38,5,87.18,96.43
13,25,3,99.31,100.0
17,7,8,81.3,100.0
15,23,8,68.06,100.0
2,7,2,77.78,55.39
14,18,22,99.22,100.0
3,46,27,74.82,100.0
4,47,4,98.28,88.47
16,29,14,91.88,100.0
6,21,27,77.68,100.0
15,8,8,81.67,98.38
13,43,1,84.3,94.08
15,47,2,86.63,97.72
6,3,25,63.07,95.48
8,36,20,97.34,100.0
3,7,11,83.88,97.31
10,0,15,97.25,100.0
1,27,4,85.28,77.12
11,5,9,77.24,93.52
11,46,27,82.68,100.0
3,35,14,93.18,100.0
17,10,13,73.05,100.0
20,4,13,98.26,100.0
6,49,22,78.64,100.0
0,23,12,98.25,98.48
12,46,15,95.23,100.0
5,17,29,90.71,100.0
5,19,7,78.7,87.17
11,27,7,83.48,99.74
7,12,29,93.52,100.0
18,4,16,81.76,100.0
4,29,29,89.53,100.0
17,0,16,91.63,100.0
4,21,2,80.52,77.54
9,17,0,81.45,80.69
0,45,16,67.91,93.45
9,4,25,69.79,100.0
4,30,23,96.2,100.0
11,5,15,93.61,100.0
6,26,16,60.4,93.37
8,24,24,94.78,100.0
20,28,1,61.01,73.62
11,27,24,78.33,100.0
0,15,13,62.7,68.98
10,11,6,98.75,95.94
20,19,24,98.89,100.0
14,17,18,84.43,100.0
1,33,0,75.69,55.92
19,22,16,80.48,100.0
6,44,26,90.49,100.0
20,26,30,68.93,100.0
11,48,9,77.67,100.0
17,16,5,89.49,100.0
2,47,6,75.82,85.12
6,20,24,61.28,100.0
10,49,5,80.3,99.71
17,39,4,89.5,100.0
11,30,29,99.07,100.0
5,2,1,61.48,30.08
4,16,17,81.6,100.0
0,49,23,78.0,100.0
11,25,30,69.7,100.0
10,22,16,85.51,100.0
3,5,23,66.54,95.39
17,27,26,71.35,100.0
3,7,25,91.27,100.0
16,44,26,78.42,100.0
1,7,22,99.75,100.0
1,18,6,75.46,82.4
11,37,20,78.53,100.0
5,28,18,72.01,100.0
9,22,6,69.45,87.69
20,46,22,96.89,100.0
15,31,6,89.95,100.0
13,9,15,73.34,100.0
6,26,11,88.01,100.0
18,48,14,98.63,100.0
16,0,14,62.96,81.85
8,38,10,70.58,100.0
12,28,1,68.02,74.8
4,44,2,94.79,86.31
4,2,18,67.17,90.27
9,50,19,72.32,100.0
20,46,27,81.75,100.0
9,36,24,84.84,100.0
6,30,25,92.33,100.0
14,10,14,76.29,100.0
6,21,15,81.37,100.0
14,17,0,98.62,88.53
2,34,14,71.89,94.41
18,5,30,69.92,100.0
9,2,11,88.42,100.0
14,4,6,90.85,99.81
2,8,6,76.59,76.84
5,27,10,68.52,83.02
11,18,19,91.16,100.0
14,27,28,86.82,100.0
5,26,10,95.05,100.0
12,12,16,93.77,100.0
18,37,2,68.21,83.89
2,42,15,93.29,100.0
7,20,4,67.01,78.67
7,26,27,94.55,100.0
19,45,1,90.81,95.97
14,5,22,82.79,100.0
3,37,29,85.69,100.0
18,48,25,64.16,100.0
20,10,25,61.6,100.0
2,46,6,73.23,75.91
12,40,27,92.86,100.0
7,16,9,78.63,100.0
15,38,4,68.94,92.66
12,6,14,93.38,100.0
2,29,11,69.15,97.61
15,20,9,92.62,100.0
8,0,30,78.12,100.0
13,24,21,78.54,100.0
12,31,16,70.91,100.0
20,7,19,96.01,100.0
6,4,19,63.55,95.12
14,29,10,65.78,100.0
6,50,7,85.44,100.0
5,7,14,94.0,100.0
1,48,1,63.82,50.36
8,18,16,89.35,100.0
16,43,22,89.7,100.0
4,29,5,83.26,83.48
11,14,20,79.47,100.0
0,35,27,72.84,100.0
9,43,12,74.06,100.0
10,26,28,86.98,100.0
15,12,28,62.61,100.0
13,13,7,83.4,100.0
7,36,10,71.15,91.23
16,47,14,78.66,100.0
17,29,12,82.36,100.0
11,38,17,95.43,100.0
16,46,17,83.16,100.0
13,12,24,69.09,100.0
15,15,16,63.18,100.0
13,43,21,85.08,100.0
8,6,12,81.8,100.0
3,47,28,86.87,100.0
10,26,2,78.38,82.12
5,44,30,93.01,100.0
14,34,28,96.81,100.0
4,14,20,61.6,95.61
10,27,23,89.76,100.0
17,34,6,61.41,86.25
12,6,28,77.8,100.0
10,49,11,78.46,100.0
13,45,3,87.85,100.0
17,49,23,74.1,100.0
18,50,26,92.84,100.0
14,45,26,73.71,100.0
8,19,25,73.7,100.0
7,31,10,68.91,96.66
19,37,13,87.35,100.0
0,39,17,63.06,90.34
3,31,6,74.52,77.38
13,25,4,70.68,92.06
1,38,15,69.17,88.25
15,19,10,62.44,93.18
2,17,21,67.62,100.0
7,49,2,77.85,86.96
5,14,15,80.15,100.0
15,21,10,70.78,100.0
15,50,9,86.01,100.0
6,21,22,73.43,100.0
12,20,22,74.69,100.0
12,1,1,91.3,75.53
4,39,15,82.08,100.0
19,42,16,98.13,100.0
17,17,9,74.37,100.0
14,22,17,93.11,100.0
17,12,11,89.53,100.0
1,40,7,95.61,95.33
9,8,26,98.27,100.0
12,48,25,60.31,100.0
17,6,2,63.53,63.95
14,40,26,86.97,100.0
11,0,19,75.61,100.0
14,1,23,92.77,100.0
12,3,2,60.48,52.33
17,13,5,92.28,100.0
14,31,1,65.41,67.67
10,35,2,71.61,72.5
18,1,16,98.76,100.0
2,39,8,62.06,65.98
6,49,3,73.96,82.83
20,50,21,63.38,100.0
13,13,30,94.14,100.0
13,19,22,88.12,100.0
12,24,1,92.01,86.71
11,41,23,81.09,100.0
8,48,27,74.31,100.0
0,7,8,60.09,43.8
18,27,13,71.12,100.0
10,45,25,80.58,100.0
18,20,10,86.57,100.0
17,22,1,69.16,84.29
11,31,20,65.56,100.0
0,7,1,68.06,33.68
18,30,26,74.16,100.0
19,36,4,65.94,95.15
16,15,6,66.27,93.04
4,39,21,61.75,100.0
2,41,3,94.27,83.19
1,26,13,68.79,89.04
2,39,1,92.88,80.78
7,40,22,77.53,100.0
15,17,11,85.3,100.0
5,34,9,63.03,81.79
12,48,24,83.34,100.0
15,14,0,71.6,69.49
15,26,18,63.81,100.0
2,16,22,96.33,100.0
12,39,15,84.15,100.0
13,1,14,69.67,96.7
7,48,13,76.79,100.0
11,49,8,74.28,100.0
20,30,28,88.02,100.0
7,36,20,84.3,100.0
20,40,22,60.79,100.0
8,40,14,67.91,100.0
0,33,25,79.13,100.0
5,33,6,77.82,90.25
18,50,3,80.67,100.0
10,2,20,88.59,100.0
10,16,17,87.28,100.0
12,13,7,74.91,92.96
10,13,11,95.1,100.0
17,45,14,62.52,100.0
14,37,14,83.38,100.0
0,34,16,97.99,100.0
20,0,1,81.96,74.44
6,47,11,78.2,100.0
12,28,2,65.36,73.24
11,3,6,92.41,95.51
17,32,5,74.95,100.0
18,16,13,88.05,100.0
14,27,22,67.9,100.0
7,49,26,61.67,100.0
18,25,4,72.22,100.0
9,7,29,71.26,100.0
6,33,3,94.94,90.68
17,17,30,94.59,100.0
15,30,14,81.36,100.0
19,26,6,60.76,85.22
5,15,2,69.13,59.42
8,9,12,85.56,99.48
20,39,9,64.06,99.91
12,11,22,88.02,100.0
20,21,1,60.48,62.38
7,15,11,87.3,100.0
15,11,27,93.78,100.0
12,10,23,78.77,100.0
12,19,27,93.16,100.0
16,50,21,91.26,100.0
19,0,11,86.86,100.0
4,26,30,77.81,100.0
20,2,18,70.88,100.0
16,11,18,94.43,100.0
8,29,20,85.94,100.0
1,8,2,91.92,56.13
17,36,5,82.08,100.0
8,0,1,66.87,43.63
5,41,23,99.18,100.0
10,48,12,67.31,100.0
5,3,26,96.45,100.0
5,14,27,68.33,100.0
12,50,26,74.95,100.0
10,26,8,77.6,100.0
13,7,12,96.86,100.0
1,22,30,95.53,100.0
7,14,22,92.93,100.0
2,26,13,75.07,98.71
20,30,18,60.18,100.0
2,38,10,87.26,100.0
0,46,13,76.44,90.03
18,7,15,90.28,100.0
17,29,9,91.79,100.0
16,41,19,77.59,100.0
19,17,15,89.92,100.0
12,3,27,93.6,100.0
2,46,25,97.14,100.0
0,42,1,83.3,68.74
3,21,24,91.14,100.0
12,2,15,79.78,100.0
16,14,13,61.67,100.0
10,34,20,66.21,100.0
1,46,27,65.13,100.0
15,37,17,66.87,100.0
1,32,25,60.41,100.0
18,13,5,94.35,100.0
18,47,6,82.41,100.0
15,0,12,75.33,88.98
18,48,1,76.39,99.15
8,25,14,78.53,100.0
0,7,16,62.96,78.93
9,49,12,70.99,100.0
18,15,6,94.07,100.0
0,37,0,89.75,54.9
1,9,2,82.54,63.29
15,41,19,79.23,100.0
11,36,17,70.36,100.0
7,25,6,78.85,88.89
17,27,20,83.91,100.0
1,11,16,88.51,100.0
12,19,27,66.67,100.0
5,48,11,92.52,100.0
20,13,15,73.83,100.0
5,45,23,80.13,100.0
8,34,9,84.32,100.0
15,28,22,79.52,100.0
10,11,15,82.88,100.0
6,17,19,64.46,100.0
9,43,17,77.29,100.0
9,1,14,71.22,82.95
19,1,22,63.44,100.0
17,16,10,67.67,100.0
19,9,17,84.1,100.0
8,17,5,67.87,78.47
14,21,0,67.24,73.76
3,18,29,82.11,100.0
7,0,22,96.19,100.0
8,23,6,91.55,100.0
12,35,11,96.2,100.0
8,24,19,83.32,100.0
3,35,3,76.4,62.68
16,30,30,89.19,100.0
15,30,9,70.45,100.0
14,1,20,63.12,97.72
2,18,1,73.78,61.56
19,11,8,71.97,100.0
4,9,9,87.02,100.0
4,30,19,82.05,100.0
19,44,10,65.53,100.0
14,21,24,96.34,100.0
17,22,13,83.73,100.0
14,22,2,78.31,97.97
1,14,24,97.49,100.0
12,25,0,63.89,55.38
3,2,6,91.58,80.95
9,22,3,74.59,88.19
12,19,6,87.82,100.0
9,44,15,97.23,100.0
8,39,29,80.71,100.0
7,38,9,60.91,75.17
2,7,14,61.15,64.38
15,17,15,73.22,100.0
13,40,5,91.27,100.0
8,5,3,71.53,59.33
20,26,3,73.38,91.5
10,35,23,91.38,100.0
2,14,22,64.65,100.0
4,36,3,93.87,82.88
9,4,26,70.63,100.0
12,38,21,62.05,100.0
3,8,21,64.69,95.86
12,6,16,98.1,100.0
11,40,12,78.05,100.0
4,19,1,70.26,65.66
9,9,19,80.85,100.0
8,25,5,87.29,100.0
19,3,21,72.75,100.0
6,37,0,89.01,69.05
1,23,7,70.09,66.39
6,13,17,64.49,100.0
7,40,28,81.99,100.0
6,0,20,66.04,95.08
20,16,3,97.62,100.0
13,44,4,60.02,80.27
18,23,4,90.23,100.0
4,26,14,71.18,95.17
17,6,9,93.84,100.0
19,8,7,62.41,87.6
11,42,25,98.12,100.0
16,34,6,64.06,94.54
12,11,11,91.52,100.0
1,20,29,80.69,100.0
12,2,24,77.22,100.0
6,14,27,71.21,100.0
9,20,10,93.65,100.0
5,9,12,67.99,80.58
2,32,14,88.85,100.0
2,45,16,77.83,100.0
17,5,21,99.94,100.0
10,1,21,84.46,100.0
19,28,17,64.17,100.0
4,39,26,76.78,100.0
18,32,7,62.65,90.91
18,3,5,71.43,81.47
14,3,10,73.73,87.33
15,28,28,94.13,100.0
8,36,25,93.52,100.0
3,19,8,60.46,60.19
14,40,25,81.29,100.0
11,22,4,68.94,85.32
2,44,6,72.8,81.06
13,17,21,60.87,100.0
16,48,26,89.99,100.0
18,24,14,98.02,100.0
5,0,20,68.77,93.57
3,14,21,73.67,100.0
6,33,3,68.26,77.75
18,47,18,97.2,100.0
16,19,12,60.37,98.56
15,36,0,83.35,100.0
14,26,0,94.83,90.29
7,21,21,67.45,100.0
18,50,13,83.6,100.0
7,4,8,62.03,59.55
17,33,23,92.58,100.0
15,38,11,70.98,100.0
19,2,17,99.55,100.0
18,16,8,96.88,100.0
9,23,7,89.3,99.84
16,23,29,79.87,100.0
12,2,13,90.66,100.0
12,44,27,65.22,100.0
6,6,8,72.41,67.72
9,24,19,61.08,100.0
1,2,24,85.8,100.0
3,14,1,92.22,75.44
5,28,28,97.85,100.0
17,49,0,87.46,100.0
5,28,12,89.28,100.0
16,9,24,95.82,100.0
13,31,9,97.46,100.0
10,22,7,79.65,100.0
18,38,6,64.39,95.89
1,8,29,78.66,100.0
2,36,28,82.24,100.0
10,39,23,85.26,100.0
5,13,11,99.57,98.31
13,3,16,96.7,100.0
18,19,29,75.85,100.0
15,27,24,64.54,100.0
20,13,11,68.59,100.0
6,43,15,66.95,100.0
7,33,9,74.24,99.04
18,12,26,95.06,100.0
19,30,24,77.52,100.0
15,32,30,82.69,100.0
6,38,11,67.17,88.86
8,27,10,79.71,100.0
12,24,24,94.95,100.0
0,31,28,90.94,100.0
7,8,13,63.25,81.19
3,27,21,94.48,100.0
2,30,19,70.95,100.0
2,16,12,86.63,96.3
12,22,1,65.86,66.67
7,12,26,86.99,100.0
6,9,19,61.43,93.23
0,15,6,84.03,82.11
15,5,0,85.84,81.93
5,47,29,69.78,100.0
6,10,24,97.48,100.0
11,2,2,61.84,39.28
8,27,28,95.67,100.0
10,40,28,75.28,100.0
9,14,19,88.56,100.0
20,12,11,86.06,100.0
0,41,4,66.73,63.05
17,44,11,72.76,100.0
3,16,28,81.19,100.0
4,6,2,93.86,66.04
8,27,19,98.19,100.0
16,37,4,60.82,81.93
2,12,27,74.1,100.0
15,16,0,86.73,84.7
4,14,15,81.11,100.0
15,35,29,97.72,100.0
2,27,8,60.68,62.98
19,14,9,77.51,100.0
14,45,28,86.75,100.0
2,10,9,68.7,70.17
19,30,12,89.03,100.0
13,3,15,63.25,88.09
15,34,29,78.04,100.0
16,33,19,87.05,100.0
19,26,28,70.67,100.0
17,9,24,62.95,100.0
17,29,3,98.28,100.0
13,44,13,96.55,100.0
17,19,16,97.05,100.0
14,28,27,99.14,100.0
14,28,4,67.39,81.59
5,22,12,66.31,89.38
14,49,24,61.37,100.0
17,20,2,95.67,100.0
3,47,4,90.11,93.84
7,42,15,85.33,100.0
14,9,18,97.11,100.0
2,40,27,83.0,100.0
14,11,18,65.19,100.0
12,29,16,67.07,100.0
8,50,17,65.29,100.0
1,32,17,72.31,100.0
7,17,24,75.18,100.0
19,13,22,91.87,100.0
16,21,7,67.65,100.0
12,20,17,89.01,100.0
0,0,8,79.65,55.09
1,48,28,99.99,100.0
14,42,18,91.06,100.0
11,14,9,98.76,100.0
13,35,28,73.69,100.0
1,46,1,64.92,44.9
17,21,27,80.24,100.0
6,31,16,64.97,89.59
5,45,24,79.7,100.0
13,32,23,70.8,100.0
